second,Volt
-101.000E-03,
-100.900E-03,-5.836E-03
-100.800E-03,-8.299E-03
-100.700E-03,-5.705E-03
-100.600E-03,+1.231E-03
-100.500E-03,-5.771E-03
-100.400E-03,-4.020E-03
-100.300E-03,-4.020E-03
-100.200E-03,-6.226E-03
-100.100E-03,-2.333E-03
-100.000E-03,-3.178E-03
-99.900E-03,-6.741E-03
-99.800E-03,-4.282E-03
-99.700E-03,-4.020E-03
-99.600E-03,-5.124E-03
-99.500E-03,+3.943E-03
-99.400E-03,-4.020E-03
-99.300E-03,-6.030E-03
-99.200E-03,-970E-06
-99.100E-03,-4.541E-03
-99.000E-03,-4.020E-03
-98.900E-03,-3.504E-03
-98.800E-03,-3.164E-03
-98.700E-03,-3.563E-03
-98.600E-03,-6.030E-03
-98.500E-03,-4.601E-03
-98.400E-03,-4.397E-03
-98.300E-03,-392E-06
-98.200E-03,-2.136E-03
-98.100E-03,-2.010E-03
-98.000E-03,-4.337E-03
-97.900E-03,-2.338E-03
-97.800E-03,-18.766E-03
-97.700E-03,+1.892E-03
-97.600E-03,-2.792E-03
-97.500E-03,-2.274E-03
-97.400E-03,-3.765E-03
-97.300E-03,-5.257E-03
-97.200E-03,-5.312E-03
-97.100E-03,-1.811E-03
-97.000E-03,-2.649E-03
-96.900E-03,-2.344E-03
-96.800E-03,-6.030E-03
-96.700E-03,-4.290E-03
-96.600E-03,-2.777E-03
-96.500E-03,-5.619E-03
-96.400E-03,-6.273E-03
-96.300E-03,-5.960E-03
-96.200E-03,-2.906E-03
-96.100E-03,-4.020E-03
-96.000E-03,-3.585E-03
-95.900E-03,-6.011E-03
-95.800E-03,-4.020E-03
-95.700E-03,-6.030E-03
-95.600E-03,-4.481E-03
-95.500E-03,-232E-06
-95.400E-03,-16.344E-03
-95.300E-03,-4.935E-03
-95.200E-03,-2.406E-03
-95.100E-03,-22.896E-03
-95.000E-03,-3.379E-03
-94.900E-03,+2.242E-03
-94.800E-03,-5.698E-03
-94.700E-03,-4.207E-03
-94.600E-03,-2.010E-03
-94.500E-03,-5.244E-03
-94.400E-03,-5.763E-03
-94.300E-03,-6.030E-03
-94.200E-03,-5.260E-03
-94.100E-03,-2.732E-03
-94.000E-03,-3.817E-03
-93.900E-03,-2.326E-03
-93.800E-03,-2.844E-03
-93.700E-03,-4.020E-03
-93.600E-03,-2.149E-03
-93.500E-03,-10.161E-03
-93.400E-03,-5.132E-03
-93.300E-03,-4.613E-03
